year,corp,dpto,votos,winner,ideo
2026,senado,CESAR,497135,PARTIDO DE LA U,Derecha
2026,senado,CHOCO,186089,PARTIDO LIBERAL COLOMBIANO,Centro
2026,senado,CONSULADOS,245755,PARTIDO CENTRO DEMOCRÁTICO,Derecha
2026,senado,CORDOBA,907876,PARTIDO DE LA U,Derecha
2026,senado,CUNDINAMARCA,1202572,PACTO HISTÓRICO SENADO,Izquierda
2026,senado,GUAINIA,16571,COALICIÓN CAMBIO RADICAL - ALMA,Derecha
2026,senado,GUAVIARE,36300,PARTIDO CONSERVADOR COLOMBIANO,Derecha
2026,senado,HUILA,428408,PACTO HISTÓRICO SENADO,Izquierda
2026,senado,LA GUAJIRA,299092,PARTIDO DE LA U,Derecha
2026,senado,MAGDALENA,607780,PARTIDO LIBERAL COLOMBIANO,Centro
2026,senado,META,444507,PARTIDO CENTRO DEMOCRÁTICO,Derecha
2026,senado,NARIÑO,597325,PACTO HISTÓRICO SENADO,Izquierda
2026,senado,NORTE DE SANTANDER,729623,PARTIDO LIBERAL COLOMBIANO,Centro
2026,senado,PUTUMAYO,109325,PACTO HISTÓRICO SENADO,Izquierda
2026,senado,QUINDIO,248090,PACTO HISTÓRICO SENADO,Izquierda
2026,senado,RISARALDA,416012,PACTO HISTÓRICO SENADO,Izquierda
2026,senado,SAN ANDRES,24197,PARTIDO LIBERAL COLOMBIANO,Centro
2026,senado,SANTANDER,981929,PARTIDO CENTRO DEMOCRÁTICO,Derecha
2026,senado,SUCRE,506270,PARTIDO LIBERAL COLOMBIANO,Centro
2026,senado,TOLIMA,560102,PARTIDO CONSERVADOR COLOMBIANO,Derecha
2026,senado,VALLE,1799955,PACTO HISTÓRICO SENADO,Izquierda
2026,senado,VAUPES,11848,PACTO HISTÓRICO SENADO,Izquierda
2026,senado,VICHADA,27483,PARTIDO LIBERAL COLOMBIANO,Centro
